0	5.421011E-17
0.414285	0.0008498584
0.562244	0.1172805
0.68801	0.08413598
1.020918	0.1206799
1.183673	0.1274788
1.560969	0.1283286
1.708928	0.168272
1.782908	0.3152975
1.849489	0.3926346
1.953061	0.3101983
2.012244	0.2626062
2.056632	0.3033994
2.145408	0.3441926
2.345153	0.3050992
2.404336	0.3263456
2.470918	0.323796
2.574489	0.282153
2.626275	0.2864023
2.78903	0.2515581
2.892602	0.2566572
3.195918	0.1827195
3.314285	0.1750708
3.484438	0.1640227
3.595408	0.1835694
3.691581	0.1818697
3.883928	0.1691218




