0	3.924812E-17
0.582902	3.924812E-17
0.738342	0.105036
0.867876	0.08776978
1.243523	0.1151079
1.411917	0.1309353
1.463731	0.257554
1.619171	0.3122302
1.683938	0.2604317
1.709845	0.3035971
1.839378	0.4302158
1.878239	0.4028777
1.930052	0.4316547
1.955959	0.4201439
1.981865	0.4302158
2.111399	0.4028777
2.189119	0.3884892
2.292746	0.3683453
2.396373	0.323741
2.474093	0.2877698
2.53886	0.2503597
2.655441	0.2086331
2.720207	0.2071942
2.772021	0.2273381
2.862694	0.2417266
2.927461	0.2345324
3.005182	0.2532374
3.108808	0.2330935
3.432643	0.1841727
3.523316	0.2
3.639897	0.2302158
3.795337	0.181295
4.067358	0.1625899
4.183938	0.1323741

